s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9640000462532043,0.9380000233650208,,0.9380000233650208,0.9180000424385071,0.940000057220459,0.9180000424385071,0.9140000343322754,0.9409999847412109,0.9390000700950623
1,0.9450000524520874,0.8880000710487366,,0.8520000576972961,0.8740000128746033,0.8280000686645508,0.8910000324249268,0.8660000562667847,0.5640000104904175,0.8850000500679016
2,0.9960039854049683,0.8521478176116943,,0.87612384557724,0.8441558480262756,0.9050948619842529,0.9000998735427856,0.8601398468017578,0.8921079039573669,0.8611388206481934
3,0.9790000319480896,0.8790000677108765,,0.8980000615119934,0.8800000548362732,0.9020000696182251,0.8820000290870667,0.8660000562667847,0.8379999995231628,0.8870000243186951
4,0.987000048160553,0.971000075340271,,0.9290000200271606,0.8170000314712524,0.9230000376701355,0.9630000591278076,0.9350000619888306,0.902999997138977,0.9350000619888306
5,0.9660000205039978,0.8840000629425049,,0.8600000143051147,0.8090000152587891,0.8540000319480896,0.878000020980835,0.8280000686645508,0.8849999904632568,0.8580000400543213
6,0.9830169677734375,0.9330669045448303,,0.957042932510376,0.9530469179153442,0.867132842540741,0.9590409398078918,0.957042932510376,0.9460539221763611,0.894105851650238
7,0.9890109896659851,0.9600399136543274,,0.8321678042411804,0.8781218528747559,0.9050948619842529,0.957042932510376,0.9150848984718323,0.9230769276618958,0.9320679306983948
8,0.9880119562149048,0.9630369544029236,,0.8371627926826477,0.7842157483100891,0.7612387537956238,0.9320679306983948,0.8211787939071655,0.8561438322067261,0.7812187671661377
9,0.9960000514984131,0.9200000166893005,,0.8420000672340393,0.8890000581741333,0.8740000128746033,0.8980000615119934,0.8700000643730164,0.9129999876022339,0.7730000615119934
10,0.968000054359436,0.8370000123977661,,0.8230000138282776,0.8380000591278076,0.8460000157356262,0.8570000529289246,0.8160000443458557,0.8709999918937683,0.8720000386238098
11,0.9950000643730164,0.9820000529289246,,0.8870000243186951,0.9340000152587891,0.9040000438690186,0.9530000686645508,0.9070000648498535,0.9210000038146973,0.8740000128746033
12,0.9570000171661377,0.971000075340271,,0.9110000729560852,0.8770000338554382,0.9420000314712524,0.9720000624656677,0.9660000205039978,0.9300000071525574,0.971000075340271
13,0.9930069446563721,0.9780219793319702,,0.9220778942108154,0.9490509033203125,0.9150848984718323,0.923076868057251,0.9360638856887817,0.9500499367713928,0.9400599002838135
14,0.9600000381469727,0.8500000238418579,,0.9440000653266907,0.9110000729560852,0.9390000700950623,0.9490000605583191,0.9020000696182251,0.9399999976158142,0.9040000438690186
15,0.9960000514984131,0.9460000395774841,,0.9390000700950623,0.921000063419342,0.9650000333786011,0.9670000672340393,0.9420000314712524,0.9509999752044678,0.9480000734329224
16,0.9780000448226929,0.8240000605583191,,0.9190000295639038,0.8200000524520874,0.8640000224113464,0.831000030040741,0.812000036239624,0.8629999756813049,0.8040000200271606
17,0.968000054359436,0.9510000348091125,,0.8830000162124634,0.8190000653266907,0.9280000329017639,0.9180000424385071,0.9170000553131104,0.9160000085830688,0.906000018119812
18,0.9820000529289246,0.9740000367164612,,0.9480000734329224,0.8070000410079956,0.940000057220459,0.9340000152587891,0.9240000247955322,0.9629999995231628,0.9180000424385071
19,0.984000027179718,0.8670000433921814,,0.8740000128746033,0.8440000414848328,0.8470000624656677,0.9100000262260437,0.7270000576972961,0.925000011920929,0.7250000238418579
20,0.975024938583374,0.838161826133728,,0.8351647853851318,0.8901098370552063,0.7282717227935791,0.9120878577232361,0.8881118893623352,0.7682317495346069,0.8561438322067261
21,0.9830000400543213,0.8920000195503235,,0.8720000386238098,0.8480000495910645,0.9010000228881836,0.8860000371932983,0.8550000190734863,0.8529999852180481,0.8530000448226929
