s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9430000185966492,0.8680000305175781,0.8560000658035278,0.7590000629425049,0.7040000557899475,0.7210000157356262,0.8480000495910645,0.7100000381469727,0.5920000076293945,,,0.6060000061988831
1,0.9770000576972961,0.9040000438690186,0.937000036239624,0.6800000071525574,0.6230000257492065,0.7080000042915344,0.7910000085830688,0.7390000224113464,0.7179999947547913,,,0.7450000643730164
2,0.9300000667572021,0.8980000615119934,0.9020000696182251,0.7550000548362732,0.6680000424385071,0.8340000510215759,0.8300000429153442,0.7610000371932983,0.6639999747276306,,,0.831000030040741
3,0.9910000562667847,0.9100000262260437,0.7970000505447388,0.7220000624656677,0.796000063419342,0.7470000386238098,0.796000063419342,0.7630000114440918,0.8360000252723694,,,0.7320000529289246
4,0.9350649118423462,0.9020978808403015,0.7712287306785583,0.7582417130470276,0.705294668674469,0.7542457580566406,0.8481518030166626,0.7112886905670166,0.7222777009010315,,,0.804195761680603
5,0.9730000495910645,0.8800000548362732,0.9530000686645508,0.7990000247955322,0.7860000133514404,0.6240000128746033,0.893000066280365,0.7880000472068787,0.777999997138977,,,0.8080000281333923
6,0.9850000739097595,0.8280000686645508,0.9720000624656677,0.656000018119812,0.6330000162124634,0.6460000276565552,0.8160000443458557,0.6070000529289246,0.6570000052452087,,,0.6130000352859497
7,0.9380618929862976,0.8811188340187073,0.9500499367713928,0.6543456315994263,0.5984016060829163,0.7712287306785583,0.8631368279457092,0.7752247452735901,0.8421578407287598,,,0.7012986540794373
8,0.984015941619873,0.8751248717308044,0.9390609264373779,0.8421578407287598,0.7722277641296387,0.8481518030166626,0.8181818127632141,0.7532467246055603,0.8061938285827637,,,0.7912087440490723
9,0.9810000658035278,0.862000048160553,0.9030000567436218,0.7260000109672546,0.6960000395774841,0.7400000095367432,0.753000020980835,0.7400000095367432,0.8009999990463257,,,0.7520000338554382
10,0.9690000414848328,0.9410000443458557,0.9570000171661377,0.8230000138282776,0.796000063419342,0.7570000290870667,0.831000030040741,0.7990000247955322,0.7419999837875366,,,0.7830000519752502
11,0.9720000624656677,0.8660000562667847,0.9850000739097595,0.831000030040741,0.6930000185966492,0.8360000252723694,0.7950000166893005,0.8460000157356262,0.8199999928474426,,,0.8500000238418579
12,0.9850000739097595,0.8650000691413879,0.968000054359436,0.8140000104904175,0.7050000429153442,0.7380000352859497,0.843000054359436,0.7440000176429749,0.7129999995231628,,,0.7970000505447388
13,0.9580419063568115,0.9240759015083313,0.957042932510376,0.8501498103141785,0.6223776340484619,0.7872127890586853,0.829170823097229,0.7832167744636536,0.8051947951316833,,,0.777222752571106
14,0.9730000495910645,0.8710000514984131,0.9650000333786011,0.4910000264644623,0.6350000500679016,0.5290000438690186,0.7220000624656677,0.4660000205039978,0.5979999899864197,,,0.5110000371932983
15,0.9960000514984131,0.8970000147819519,0.9630000591278076,0.7640000581741333,0.7300000190734863,0.7700000405311584,0.8640000224113464,0.7580000162124634,0.6330000162124634,,,0.7590000629425049
16,0.9350000619888306,0.8580000400543213,0.8850000500679016,0.7950000166893005,0.7560000419616699,0.8040000200271606,0.9040000438690186,0.8450000286102295,0.7919999957084656,,,0.8330000638961792
17,0.8821178674697876,0.9000998735427856,0.9540459513664246,0.8361638188362122,0.7622377276420593,0.7562437057495117,0.7962037920951843,0.7842157483100891,0.7902097702026367,,,0.8491508364677429
18,0.9930000305175781,0.9480000734329224,0.878000020980835,0.8390000462532043,0.7220000624656677,0.8410000205039978,0.8610000610351562,0.8760000467300415,0.8659999966621399,,,0.8440000414848328
19,0.9690309166908264,0.8971028923988342,0.9300699234008789,0.6923076510429382,0.649350643157959,0.7582417130470276,0.7962037920951843,0.6883116960525513,0.6163836121559143,,,0.7122876644134521
20,0.9930000305175781,0.8810000419616699,0.937000036239624,0.7070000171661377,0.6260000467300415,0.7150000333786011,0.7740000486373901,0.6860000491142273,0.6970000267028809,,,0.8550000190734863
21,0.9460000395774841,0.7990000247955322,0.8750000596046448,0.7580000162124634,0.6600000262260437,0.7410000562667847,0.7950000166893005,0.7660000324249268,0.7210000157356262,,,0.7670000195503235
22,0.9450549483299255,0.9210789203643799,0.9330669045448303,0.6613386273384094,0.5844155550003052,0.658341646194458,0.714285671710968,0.5914085507392883,0.6463536620140076,,,0.5904095768928528
23,0.9750000238418579,0.9250000715255737,0.9200000166893005,0.753000020980835,0.6880000233650208,0.597000002861023,0.7310000061988831,0.7400000095367432,0.6119999885559082,,,0.6040000319480896
24,0.9590000510215759,0.9530000686645508,0.9110000729560852,0.6200000047683716,0.5850000381469727,0.6570000052452087,0.843000054359436,0.6100000143051147,0.7200000286102295,,,0.6730000376701355
25,0.9970000386238098,0.9330000281333923,0.9050000309944153,0.8110000491142273,0.7270000576972961,0.800000011920929,0.8090000152587891,0.8050000667572021,0.6690000295639038,,,0.8160000443458557
26,0.9700000286102295,0.9110000729560852,0.8490000367164612,0.7700000405311584,0.6840000152587891,0.6530000567436218,0.8060000538825989,0.7800000309944153,0.6990000009536743,,,0.7360000610351562
27,0.9670329689979553,0.8371627926826477,0.9730269312858582,0.7502497434616089,0.6883116960525513,0.7312687039375305,0.8141857981681824,0.7292706966400146,0.7582417726516724,,,0.7442557215690613
28,0.9750000238418579,0.8630000352859497,0.9630000591278076,0.76500004529953,0.6640000343322754,0.7350000143051147,0.8460000157356262,0.8100000619888306,0.7059999704360962,,,0.7820000648498535
29,0.9940000176429749,0.921000063419342,0.9690000414848328,0.8560000658035278,0.737000048160553,0.7950000166893005,0.878000020980835,0.8190000653266907,0.8299999833106995,,,0.8340000510215759
30,0.9660000205039978,0.9320000410079956,0.9830000400543213,0.6920000314712524,0.6760000586509705,0.7310000061988831,0.7930000424385071,0.6420000195503235,0.656000018119812,,,0.703000009059906
