s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.9599999785423279,0.734000027179718,0.734000027179718,0.6100000143051147,0.7450000047683716,0.7089999914169312,0.6769999861717224,0.7269999980926514,0.753000020980835,,,0.6959999799728394
1,0.9869999885559082,0.7540000081062317,0.8730000257492065,0.5720000267028809,0.6790000200271606,0.7570000290870667,0.7429999709129333,0.7929999828338623,0.7950000166893005,,,0.7829999923706055
2,0.9660000205039978,0.7300000190734863,0.8569999933242798,0.6890000104904175,0.6759999990463257,0.7160000205039978,0.7139999866485596,0.7559999823570251,0.753000020980835,,,0.7160000205039978
3,0.9779999852180481,0.8009999990463257,0.847000002861023,0.5590000152587891,0.7720000147819519,0.7210000157356262,0.7680000066757202,0.7590000033378601,0.8379999995231628,,,0.7490000128746033
4,0.948051929473877,0.7472527623176575,0.7862138152122498,0.5574425458908081,0.6793206930160522,0.7052947282791138,0.7452547550201416,0.7312687039375305,0.7602397799491882,,,0.687312662601471
5,0.9980000257492065,0.765999972820282,0.7009999752044678,0.6570000052452087,0.828000009059906,0.7110000252723694,0.7080000042915344,0.7110000252723694,0.7699999809265137,,,0.7490000128746033
6,0.996999979019165,0.5249999761581421,0.5249999761581421,0.675000011920929,0.6909999847412109,0.7680000066757202,0.8029999732971191,0.7940000295639038,0.8429999947547913,,,0.8050000071525574
7,0.9570000171661377,0.8140000104904175,0.7440000176429749,0.49500003457069397,0.6779999732971191,0.7749999761581421,0.7519999742507935,0.7179999947547913,0.7239999771118164,,,0.722000002861023
8,0.9860000014305115,0.8240000009536743,0.8629999756813049,0.5110000371932983,0.7639999985694885,0.7910000085830688,0.7950000166893005,0.7829999923706055,0.7710000276565552,,,0.7670000195503235
9,0.9800000190734863,0.6840000152587891,0.7459999918937683,0.578000009059906,0.7160000205039978,0.7139999866485596,0.7149999737739563,0.7099999785423279,0.699999988079071,,,0.7149999737739563
