s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.96517413854599,0.9179104566574097,0.8830845952033997,0.9303482174873352,0.8830845355987549,0.9228855967521667,0.8756219148635864,0.9179104566574097,0.8905472755432129,0.893034815788269,0.9104477763175964,0.6741293668746948,0.9004974961280823,0.893034815788269
1,0.9402984976768494,0.93034827709198,0.893034815788269,0.9427860379219055,0.9129353165626526,0.9104477763175964,0.853233814239502,0.9004974961280823,0.9079601764678955,0.9079601764678955,0.8980099558830261,0.6716417670249939,0.8756218552589417,0.9079601764678955
2,0.9726368188858032,0.9228855967521667,0.9228855967521667,0.8955223560333252,0.9079601764678955,0.9029850959777832,0.8482587337493896,0.9203979969024658,0.9054726362228394,0.9104477763175964,0.8606964945793152,0.6641790866851807,0.8805969953536987,0.9129353165626526
3,0.9452736377716064,0.9402984976768494,0.9353233575820923,0.9452736377716064,0.922885537147522,0.9328358173370361,0.927860677242279,0.9502487778663635,0.9452736377716064,0.9328358173370361,0.9502487778663635,0.6567164063453674,0.9104477167129515,0.9378109574317932
4,0.9676616787910461,0.9104477763175964,0.8557214140892029,0.9328358173370361,0.9079601764678955,0.9079601764678955,0.8905472755432129,0.9179104566574097,0.9054726362228394,0.9004974961280823,0.9154228568077087,0.4950248897075653,0.815920352935791,0.8980099558830261
5,0.9626865386962891,0.9527363181114197,0.9203979969024658,0.9179103970527649,0.9029850363731384,0.93034827709198,0.8980099558830261,0.93034827709198,0.9179104566574097,0.9179104566574097,0.9228855967521667,0.6194030046463013,0.8905472159385681,0.9179104566574097
6,0.9701492786407471,0.9328358173370361,0.9502487778663635,0.9477611780166626,0.9402984976768494,0.9452736377716064,0.6169154047966003,0.9527363181114197,0.9552238583564758,0.9179104566574097,0.9228855967521667,0.6218905448913574,0.8034825921058655,0.9154228568077087
7,0.9676616787910461,0.9577114582061768,0.9378109574317932,0.8980099558830261,0.957711398601532,0.927860677242279,0.9502487778663635,0.9402984976768494,0.9253731369972229,0.93034827709198,0.9029850959777832,0.6169154047966003,0.9477611780166626,0.9228855967521667
8,0.9751243591308594,0.9577114582061768,0.8383084535598755,0.9328358173370361,0.8731343150138855,0.9079601764678955,0.8781094551086426,0.9179104566574097,0.9054726362228394,0.9029850959777832,0.8980099558830261,0.6616915464401245,0.8756218552589417,0.9054726362228394
9,0.9676616787910461,0.9477611780166626,0.9203979969024658,0.9527363181114197,0.8781094551086426,0.93034827709198,0.93034827709198,0.8781094551086426,0.89552241563797,0.893034815788269,0.9328358173370361,0.6567164063453674,0.8681591749191284,0.893034815788269
