s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.8066230416297913,0.7924502491950989,0.7632869482040405,0.7679203748703003,0.7996729016304016,0.7304442524909973,0.7872717380523682,0.7750068306922913,0.7883619666099548,0.7999454736709595,0.7709184885025024,0.7109566926956177,0.8058053851127625,0.7747342586517334
1,0.8180702924728394,0.7846824526786804,0.7973561882972717,0.7804578542709351,0.7792313694953918,0.7878168225288391,0.6944671869277954,0.7699645757675171,0.7754156589508057,0.7751430869102478,0.5,0.513218879699707,0.8131643533706665,0.7797765135765076
2,0.7994003891944885,0.7578359246253967,0.7574270963668823,0.7800490260124207,0.7964022755622864,0.7679204344749451,0.7462523579597473,0.7376669645309448,0.7093213200569153,0.7549741268157959,0.6783865094184875,0.5340692400932312,0.8107113242149353,0.7718724608421326
3,0.8187516927719116,0.7536113262176514,0.7635595202445984,0.7707822322845459,0.745298445224762,0.8017171025276184,0.8015807867050171,0.801853358745575,0.811256468296051,0.8019896149635315,0.770237147808075,0.6274189352989197,0.7946306467056274,0.8034886717796326
4,0.8004906177520752,0.7403925061225891,0.7467974424362183,0.7958571314811707,0.7439356446266174,0.7113655209541321,0.7090488076210022,0.7342600226402283,0.7127282619476318,0.6783865094184875,0.612564742565155,0.6545380353927612,0.6745706796646118,0.669664740562439
5,0.807168185710907,0.7503407001495361,0.7598800659179688,0.7643771767616272,0.7650585770606995,0.7491142153739929,0.6114745140075684,0.6633960008621216,0.6302807331085205,0.7691469192504883,0.7446170449256897,0.6410465836524963,0.751430869102478,0.7688743472099304
6,0.8017171025276184,0.7969474196434021,0.7590624094009399,0.7999454736709595,0.743526816368103,0.5227582454681396,0.7140910625457764,0.7318070530891418,0.6871082186698914,0.790133535861969,0.7943581342697144,0.3579994440078735,0.7511583566665649,0.7582447528839111
7,0.7944943904876709,0.6627146601676941,0.7496592998504639,0.7868629097938538,0.7582447528839111,0.7375306487083435,0.7237666845321655,0.7070046067237854,0.5907604098320007,0.7144998908042908,0.7352139353752136,0.6188334822654724,0.7895883917808533,0.7803215980529785
8,0.811256468296051,0.7715998888015747,0.760561466217041,0.792177677154541,0.7861815094947815,0.540746808052063,0.795993447303772,0.7773235440254211,0.7928590774536133,0.7718724608421326,0.7844099402427673,0.5610520839691162,0.7627418637275696,0.787544310092926
9,0.8111202120780945,0.7130008339881897,0.7805941700935364,0.7871354222297668,0.7977650165557861,0.7981739044189453,0.6726628541946411,0.6884709596633911,0.7417552471160889,0.7634232640266418,0.7616516947746277,0.7636958360671997,0.7481602430343628,0.7165440320968628
10,0.8161624670028687,0.6390024423599243,0.6715726256370544,0.7800490260124207,0.7919051051139832,0.7492504715919495,0.770509660243988,0.618969738483429,0.5541019439697266,0.7448896169662476,0.6516761779785156,0.4715181291103363,0.7170891165733337,0.7477514147758484
11,0.8107113838195801,0.7636958360671997,0.7301716804504395,0.6909239292144775,0.7759607434272766,0.7341237664222717,0.7598800659179688,0.7542927265167236,0.7774598002433777,0.7564731240272522,0.7431179881095886,0.747342586517334,0.6880621314048767,0.7619242072105408
12,0.7925865650177002,0.7609702944755554,0.6742981672286987,0.7638320922851562,0.7968111038208008,0.7656037211418152,0.7500681281089783,0.7000545263290405,0.6985554695129395,0.7717361450195312,0.7202234864234924,0.6251022219657898,0.7765058279037476,0.7893158793449402
13,0.8221586346626282,0.7928590774536133,0.7899972796440125,0.7774598002433777,0.7638320922851562,0.7893158793449402,0.789588451385498,0.7893158793449402,0.7889070510864258,0.7863178253173828,0.7939493060112,0.5519214868545532,0.7737802863121033,0.7884982228279114
14,0.8198419213294983,0.6944671869277954,0.7992640733718872,0.7574270963668823,0.7905423641204834,0.6815208792686462,0.7465249300003052,0.7725538015365601,0.7808667421340942,0.7713273167610168,0.6666666865348816,0.4428999722003937,0.8123466372489929,0.7752793431282043
15,0.7994003891944885,0.8022621870040894,0.745570957660675,0.7583810091018677,0.7606977224349976,0.6801580786705017,0.5632324814796448,0.7660125494003296,0.7965385913848877,0.7650585770606995,0.6191059947013855,0.6411828994750977,0.8085309267044067,0.7868629097938538
16,0.8197056651115417,0.787544310092926,0.7677841186523438,0.7721449732780457,0.7737802863121033,0.7320795655250549,0.6644862294197083,0.7339874505996704,0.7144998908042908,0.7352139353752136,0.618424654006958,0.5358408093452454,0.7902697920799255,0.7455710172653198
17,0.8128917813301086,0.750613272190094,0.7574270963668823,0.7653311491012573,0.7713273167610168,0.7639684081077576,0.7711910605430603,0.7767783999443054,0.7726901173591614,0.7733715176582336,0.5,0.702507495880127,0.7515671849250793,0.77814120054245
18,0.784273624420166,0.772281289100647,0.7680566906929016,0.7902697920799255,0.7884982228279114,0.7391659617424011,0.762605607509613,0.7534750699996948,0.7759607434272766,0.7556554675102234,0.5,0.6410465836524963,0.7568819522857666,0.7647860646247864
19,0.8043063282966614,0.6965113282203674,0.7590624094009399,0.792722761631012,0.7676478624343872,0.6977378129959106,0.7168165445327759,0.7076860070228577,0.7209048867225647,0.7060506939888,0.5,0.7061869502067566,0.7522485256195068,0.6782501935958862
20,0.8134369254112244,0.6411828994750977,0.761106550693512,0.7795039415359497,0.7932679057121277,0.7725538015365601,0.780185341835022,0.6669391989707947,0.737394392490387,0.7612428665161133,0.5,0.524938702583313,0.7018260955810547,0.6800218224525452
21,0.7973562479019165,0.7518397569656372,0.7917688488960266,0.7596074938774109,0.7899972796440125,0.7944943904876709,0.7266284823417664,0.781684398651123,0.7606977224349976,0.795448362827301,0.5,0.6102480292320251,0.7444807887077332,0.7750068306922913
22,0.8198419213294983,0.8103025555610657,0.7653311491012573,0.7656036615371704,0.7260833978652954,0.781684398651123,0.7604252099990845,0.7711910605430603,0.696102499961853,0.8015807867050171,0.5590078830718994,0.6302807331085205,0.7985826730728149,0.7955846190452576
23,0.8104388117790222,0.7947669625282288,0.7424365878105164,0.7807304263114929,0.7675115466117859,0.8004906177520752,0.795448362827301,0.7950395345687866,0.7920414209365845,0.7953120470046997,0.5,0.5461978912353516,0.7953120470046997,0.7977650761604309
24,0.8037612438201904,0.7882256507873535,0.7853638529777527,0.7816843390464783,0.7874079942703247,0.7799127697944641,0.7636958360671997,0.7548378109931946,0.7555192112922668,0.7616516947746277,0.5,0.6534478068351746,0.7840010523796082,0.7845461964607239
25,0.8149359226226807,0.7433905601501465,0.7756881713867188,0.7639683485031128,0.794221818447113,0.7814118266105652,0.733578622341156,0.7740528583526611,0.7660125494003296,0.7740528583526611,0.5358408093452454,0.6379122138023376,0.7929953336715698,0.7665576338768005
26,0.7874079942703247,0.7562006115913391,0.7793676257133484,0.7097301483154297,0.698146641254425,0.5923957228660583,0.638321042060852,0.6661215424537659,0.6789315938949585,0.698146641254425,0.7462523579597473,0.6481329798698425,0.6955573558807373,0.650040864944458
27,0.8149359226226807,0.7792313694953918,0.7815480828285217,0.7780048847198486,0.7908149361610413,0.7331697940826416,0.786045253276825,0.7601526379585266,0.7752793431282043,0.7778686285018921,0.5,0.6508585214614868,0.7628781199455261,0.7769147157669067
28,0.8075770139694214,0.7391659617424011,0.7466611862182617,0.7788225412368774,0.7502043843269348,0.7855001091957092,0.7517034411430359,0.7507495284080505,0.7679204344749451,0.7293540239334106,0.6820659637451172,0.7497955560684204,0.7815480828285217,0.7410738468170166
29,0.8062142133712769,0.7770509719848633,0.7855001091957092,0.6929680705070496,0.7767783999443054,0.6403652429580688,0.6340965032577515,0.7052330374717712,0.6238757371902466,0.6768874526023865,0.5,0.6772962808609009,0.7243117690086365,0.6764786243438721
30,0.8055328130722046,0.7745980024337769,0.7894521355628967,0.7987189888954163,0.8036249279975891,0.7739166021347046,0.6715726256370544,0.7865903377532959,0.719814658164978,0.737394392490387,0.5594167113304138,0.6454074382781982,0.8082583546638489,0.7037339806556702
31,0.7853638529777527,0.8051239848136902,0.7037339806556702,0.7568819522857666,0.7269010543823242,0.5685473084449768,0.6832924485206604,0.6567184329032898,0.5715453624725342,0.663259744644165,0.496320515871048,0.6325974464416504,0.4749250411987304,0.5793131589889526
32,0.8147996664047241,0.7732352018356323,0.7961297035217285,0.797492504119873,0.792722761631012,0.7718724608421326,0.6958299279212952,0.778413712978363,0.8019896149635315,0.7538838982582092,0.6936494708061218,0.4378577172756195,0.7707822322845459,0.7669664621353149
33,0.8206595778465271,0.7987189888954163,0.7837285399436951,0.5451076626777649,0.630962073802948,0.7454347014427185,0.6473153233528137,0.7566094398498535,0.7594712376594543,0.7469337582588196,0.5006814002990723,0.6584900617599487,0.7819569110870361,0.7724175453186035
34,0.8111202120780945,0.7418915033340454,0.7760969996452332,0.780185341835022,0.7872717380523682,0.778413712978363,0.6588988900184631,0.6804306507110596,0.7023712396621704,0.7357590794563293,0.5,0.4655219316482544,0.6751158237457275,0.6956936717033386
35,0.815072238445282,0.7462523579597473,0.742027759552002,0.7744616866111755,0.792722761631012,0.7863178253173828,0.7391659617424011,0.7713273167610168,0.7701008319854736,0.7688743472099304,0.6417279839515686,0.6565821766853333,0.8049877285957336,0.7612428665161133
36,0.8195693492889404,0.6355955004692078,0.7586535811424255,0.700735867023468,0.7998092174530029,0.6218315362930298,0.5943036079406738,0.5741346478462219,0.6030253767967224,0.7147724032402039,0.5,0.6494957804679871,0.7222676277160645,0.754701554775238
37,0.8142545819282532,0.6434996128082275,0.7393022179603577,0.6451348662376404,0.7879530787467957,0.7983101606369019,0.7639684081077576,0.7752793431282043,0.7936767339706421,0.7916325926780701,0.7996729612350464,0.4588443636894226,0.7752793431282043,0.7615153789520264
38,0.7928590774536133,0.7387571334838867,0.7252657413482666,0.7820931673049927,0.7737802863121033,0.7780048847198486,0.7508857846260071,0.7726901173591614,0.7624693512916565,0.7688743472099304,0.7608340382575989,0.5246661305427551,0.759334921836853,0.7769147157669067
