s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
0,0.7582566142082214,0.7606930136680603,0.7236058115959167,0.7600162029266357,0.7386301755905151,0.5921764969825745,0.5,0.7213048338890076,0.6636437177658081,0.7223876714706421,0.6004331111907959,,,0.6817812919616699
1,0.7954791784286499,0.6195181012153625,0.6939631700515747,0.6304818391799927,0.7122360467910767,0.6639144420623779,0.6437466144561768,0.5,0.6381970643997192,0.6507850289344788,0.611396849155426,,,0.6283161640167236
2,0.7743638157844543,0.7031672596931458,0.7541959881782532,0.7583919763565063,0.6866540312767029,0.6031402349472046,0.5,0.6372495889663696,0.5780996084213257,0.6461830139160156,0.5,,,0.6097726225852966
3,0.8168652057647705,0.7555494904518127,0.7448564767837524,0.7398483753204346,0.7460746765136719,0.722929060459137,0.7314563989639282,0.49972930550575256,0.7292907238006592,0.7282078862190247,0.7257715463638306,,,0.7330806851387024
4,0.8159177303314209,0.7712506651878357,0.7084460854530334,0.725500762462616,0.766242504119873,0.7555495500564575,0.7711153030395508,0.7164320349693298,0.7627233266830444,0.763400137424469,0.5,,,0.7694910764694214
5,0.8170005679130554,0.7287492752075195,0.7241472601890564,0.7103410959243774,0.727666437625885,0.5,0.6962642073631287,0.5224688649177551,0.6173524856567383,0.5818895697593689,0.5322144031524658,,,0.6054412722587585
6,0.820519745349884,0.7283432483673096,0.7444504499435425,0.7283432483673096,0.7153491973876953,0.7181916832923889,0.5097455382347107,0.690985381603241,0.6858419179916382,0.6667569279670715,0.5,,,0.7234705090522766
7,0.8069843053817749,0.7686789035797119,0.7642121911048889,0.7223876118659973,0.7635354399681091,0.6307525634765625,0.5,0.5722793936729431,0.522739589214325,0.5990796089172363,0.5,,,0.6062533855438232
8,0.7757173776626587,0.6392799019813538,0.6950460076332092,0.6591770052909851,0.7051975727081299,0.6256090998649597,0.688684344291687,0.5,0.6464537382125854,0.588792622089386,0.5,,,0.5946128964424133
9,0.816188395023346,0.7688142657279968,0.7452625632286072,0.7474282383918762,0.6670275926589966,0.5,0.7471575736999512,0.6719003915786743,0.7356523871421814,0.6672983169555664,0.6950460076332092,,,0.6586356163024902
10,0.820519745349884,0.7180562615394592,0.7176502346992493,0.7152138352394104,0.7242826223373413,0.7413372993469238,0.5721440315246582,0.6957228183746338,0.7292907238006592,0.7080400586128235,0.5,,,0.7265836596488953
11,0.8053600192070007,0.7261775732040405,0.734434187412262,0.7447211742401123,0.7319977879524231,0.7646182775497437,0.6781266927719116,0.49972930550575256,0.761505126953125,0.7613697648048401,0.6011099219322205,,,0.7559555768966675
12,0.7834326028823853,0.6850297451019287,0.6165403127670288,0.7412019371986389,0.6407687664031982,0.5882512331008911,0.679480254650116,0.6644558906555176,0.5032485127449036,0.5711965560913086,0.5979967713356018,,,0.5116404891014099
13,0.7670546770095825,0.7598808407783508,0.7563616633415222,0.6968055963516235,0.7696263790130615,0.6955874562263489,0.5,0.768137514591217,0.7453979253768921,0.7383595108985901,0.7164320349693298,,,0.7532485127449036
14,0.736329197883606,0.6654033064842224,0.6796155571937561,0.7225229740142822,0.6511911153793335,0.5,0.7336220741271973,0.6442880630493164,0.6847590804100037,0.6913914680480957,0.5,,,0.6641851663589478
15,0.777206301689148,0.7651596665382385,0.6380617022514343,0.770438551902771,0.7288846373558044,0.7287493348121643,0.6509203910827637,0.715890645980835,0.7319978475570679,0.7169734835624695,0.5936654210090637,,,0.7311857342720032
16,0.8141580820083618,0.7108824849128723,0.7337574362754822,0.7451272010803223,0.75,0.5,0.6719003915786743,0.6747428178787231,0.6846237182617188,0.677585244178772,0.6196534633636475,,,0.6737953424453735
17,0.8195722699165344,0.7508121132850647,0.7574445009231567,0.7081754207611084,0.727666437625885,0.7319978475570679,0.5,0.4998646378517151,0.7540606260299683,0.7390362620353699,0.7065511345863342,,,0.7422847747802734
18,0.8145641684532166,0.6549810171127319,0.7118299603462219,0.7245532870292664,0.7154845595359802,0.6357606649398804,0.5621277689933777,0.6483486890792847,0.6437466144561768,0.6769084930419922,0.5943421721458435,,,0.6854358315467834
19,0.8230915069580078,0.7820790410041809,0.7398483753204346,0.7564970254898071,0.7505413889884949,0.7747699022293091,0.7284786105155945,0.7736870646476746,0.7551434636116028,0.7579859495162964,0.5527883172035217,,,0.7560909390449524
20,0.793042778968811,0.7382241487503052,0.7079046964645386,0.7269896864891052,0.7185977101325989,0.709122896194458,0.6440173387527466,0.7371413111686707,0.7264482975006104,0.7321332097053528,0.7426908612251282,,,0.747834324836731
21,0.809014618396759,0.7391716241836548,0.6981591582298279,0.7587980031967163,0.7261775732040405,0.7717921137809753,0.7435029745101929,0.763400137424469,0.7619112133979797,0.7581212520599365,0.5025717616081238,,,0.7685436010360718
22,0.7818083167076111,0.7236058115959167,0.7341634631156921,0.7192744612693787,0.7498646378517151,0.7271250486373901,0.7359231114387512,0.7087168097496033,0.7279372215270996,0.7134542465209961,0.6605305671691895,,,0.5996209979057312
23,0.8262046575546265,0.7333513498306274,0.745533287525177,0.7587980031967163,0.7514888644218445,0.682051956653595,0.6216838359832764,0.740660548210144,0.6704114675521851,0.7364645600318909,0.5,,,0.727260410785675
24,0.817948043346405,0.7447211742401123,0.711694598197937,0.743232250213623,0.706957221031189,0.5,0.6015159487724304,0.5,0.763400137424469,0.740795910358429,0.7255008220672607,,,0.756632387638092
25,0.8184894323348999,0.7743638157844543,0.7471575140953064,0.7418786883354187,0.6878722310066223,0.7758527398109436,0.7574445009231567,0.7644829750061035,0.7387655377388,0.7435029745101929,0.6649972796440125,,,0.736329197883606
26,0.804683268070221,0.7721981406211853,0.6825933456420898,0.7268543243408203,0.7579858899116516,0.5,0.736329197883606,0.7501353621482849,0.740660548210144,0.7560909390449524,0.6724417805671692,,,0.7648890018463135
27,0.8026529550552368,0.7740930914878845,0.7552788257598877,0.7709799408912659,0.779778003692627,0.6896318197250366,0.7083107829093933,0.7832972407341003,0.7551434636116028,0.7569031119346619,0.7506767511367798,,,0.7613697648048401
28,0.8077964186668396,0.7518949508666992,0.6798862814903259,0.7563616633415222,0.6342718005180359,0.7375473976135254,0.7341635227203369,0.5,0.7226583361625671,0.7334867119789124,0.7314563989639282,,,0.7240118980407715
29,0.8245803713798523,0.7629939913749695,0.7456686496734619,0.7474282383918762,0.7533838152885437,0.757038414478302,0.6834055185317993,0.661207377910614,0.7665132880210876,0.7696264386177063,0.6138332486152649,,,0.7573091387748718
30,0.7987276911735535,0.752571702003479,0.677585244178772,0.6962642073631287,0.7073632478713989,0.6889550685882568,0.6311586499214172,0.715890645980835,0.6463183760643005,0.6376556754112244,0.5,,,0.7149431705474854
31,0.8103681802749634,0.7598808407783508,0.7238765358924866,0.7574445009231567,0.7337574362754822,0.7731456160545349,0.5499458312988281,0.4998646378517151,0.7513535618782043,0.7181916832923889,0.5,,,0.7541959881782532
32,0.8069843053817749,0.754737377166748,0.7596101760864258,0.7448564767837524,0.6681104302406311,0.6648619174957275,0.5,0.70438551902771,0.7268543839454651,0.7600162625312805,0.5,,,0.7329453229904175
33,0.7858690023422241,0.7253654599189758,0.7363291382789612,0.7337574362754822,0.7137249112129211,0.7493232488632202,0.5,0.7165673971176147,0.722793698310852,0.7231997847557068,0.6005684733390808,,,0.7162966728210449
34,0.8110449314117432,0.7738223671913147,0.7642121911048889,0.7424201369285583,0.7171087861061096,0.5,0.7785598039627075,0.7399837374687195,0.6939631700515747,0.7187330722808838,0.5,,,0.7145370841026306
35,0.8054953813552856,0.775311291217804,0.729967474937439,0.6805630326271057,0.7582566142082214,0.7585273385047913,0.5,0.7546020746231079,0.7701678276062012,0.7080400586128235,0.5,,,0.6855711936950684
36,0.8110449314117432,0.7623172402381897,0.6625608801841736,0.7602869272232056,0.7035733461380005,0.7518949508666992,0.7578505873680115,0.7788305282592773,0.7555495500564575,0.7640768885612488,0.7449918985366821,,,0.7642122507095337
37,0.7786951661109924,0.745939314365387,0.7292907238006592,0.7579858899116516,0.7080400586128235,0.7571737766265869,0.7556849122047424,0.49972930550575256,0.7462100982666016,0.7717921137809753,0.7271250486373901,,,0.7673254013061523
38,0.8182187080383301,0.7772062420845032,0.7624526023864746,0.7544666528701782,0.7087168097496033,0.5,0.5,0.7311857342720032,0.7657011151313782,0.7456686496734619,0.5,,,0.7685436010360718
39,0.7972387671470642,0.7337574362754822,0.7494585514068604,0.7470221519470215,0.7311856746673584,0.6199241876602173,0.5,0.706821858882904,0.6410395503044128,0.643340528011322,0.6977531313896179,,,0.6498375535011292
40,0.7878993153572083,0.7665132284164429,0.7743638157844543,0.7776123285293579,0.7807254791259766,0.6940985321998596,0.6337303519248962,0.7609637379646301,0.7413372993469238,0.7391716241836548,0.5,,,0.7424201369285583
41,0.747698962688446,0.6846237182617188,0.7240118980407715,0.7005955576896667,0.6880075335502625,0.6404981017112732,0.5,0.5626692175865173,0.682051956653595,0.667839765548706,0.5,,,0.6109908223152161
42,0.795749843120575,0.768272876739502,0.7693557143211365,0.7602869272232056,0.7554141879081726,0.5,0.7379534244537354,0.6080129742622375,0.6804277300834656,0.7282078862190247,0.5951542854309082,,,0.7391716241836548
43,0.8087438941001892,0.7513535022735596,0.7403898239135742,0.7587980031967163,0.7632647156715393,0.7395777106285095,0.5,0.7536545991897583,0.7302381992340088,0.7321332097053528,0.6352192759513855,,,0.7011370062828064
44,0.80684894323349,0.738900899887085,0.6877368688583374,0.7084460854530334,0.67054682970047,0.7037087082862854,0.5,0.6062533855438232,0.6392799019813538,0.6593124270439148,0.5010828375816345,,,0.663508415222168
45,0.8037357926368713,0.6951813697814941,0.7372766137123108,0.713995635509491,0.7275311350822449,0.5,0.7176502346992493,0.6880075931549072,0.7264482975006104,0.7179209589958191,0.5946128964424133,,,0.7181916832923889
46,0.7877639532089233,0.6664861440658569,0.6360313892364502,0.6610720157623291,0.7053329348564148,0.5994856357574463,0.5389821529388428,0.6028695106506348,0.6973470449447632,0.688278317451477,0.5426366925239563,,,0.6609366536140442
47,0.8115863800048828,0.75040602684021,0.7475636005401611,0.7623172402381897,0.7523009777069092,0.7267190217971802,0.5,0.7417433857917786,0.7759881019592285,0.7732809782028198,0.7536545991897583,,,0.7739577889442444
48,0.8247157335281372,0.7529777884483337,0.7517595887184143,0.7127774357795715,0.7338927984237671,0.6927449703216553,0.6759610176086426,0.7401190996170044,0.6517325639724731,0.742961585521698,0.5454791784286499,,,0.6777206063270569
49,0.7872225046157837,0.759204089641571,0.7527070641517639,0.7650243639945984,0.6813752055168152,0.5,0.6524093151092529,0.6655387282371521,0.606659471988678,0.7053329944610596,0.5559014678001404,,,0.6916621327400208
50,0.8263400197029114,0.69315105676651,0.6304818391799927,0.5334326028823853,0.7326745986938477,0.6789388060569763,0.5303194522857666,0.7662425637245178,0.7552788257598877,0.731862485408783,0.5975906848907471,,,0.7149431705474854
51,0.7916892170906067,0.7594748139381409,0.7371413111686707,0.6857065558433533,0.7387655377388,0.7697618007659912,0.7412019371986389,0.7735517024993896,0.7341635227203369,0.7494586110115051,0.7437736988067627,,,0.7728749513626099
