FIT Profiler Report

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  12764          	|  22.605         	|  100 %          	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  2.605          	|  6              	|  15.63          	|  69.145         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.0077833      	|  294            	|  2.2883         	|  10.123         	|
|  run_training_batch                                                                                                                                                  	|  0.0057957      	|  294            	|  1.7039         	|  7.538          	|
|  [LightningModule]CGANSupervisedClassifier.optimizer_step                                                                                                            	|  0.0056498      	|  294            	|  1.6611         	|  7.3482         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.0021593      	|  294            	|  0.63484        	|  2.8084         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.0016253      	|  294            	|  0.47784        	|  2.1139         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                        	|  0.0016251      	|  294            	|  0.47777        	|  2.1136         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.045833       	|  7              	|  0.32083        	|  1.4193         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.00042659     	|  301            	|  0.1284         	|  0.56804        	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.016977       	|  7              	|  0.11884        	|  0.52572        	|
|  [LightningModule]CGANSupervisedClassifier.transfer_batch_to_device                                                                                                  	|  0.0002871      	|  301            	|  0.086417       	|  0.3823         	|
|  [LightningModule]CGANSupervisedClassifier.optimizer_zero_grad                                                                                                       	|  0.00022015     	|  294            	|  0.064724       	|  0.28633        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.0033861      	|  6              	|  0.020317       	|  0.089877       	|
|  [LightningModule]CGANSupervisedClassifier.configure_gradient_clipping                                                                                               	|  5.5661e-05     	|  294            	|  0.016364       	|  0.072393       	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                 	|  0.0018342      	|  7              	|  0.012839       	|  0.056798       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  4.3286e-05     	|  294            	|  0.012726       	|  0.056298       	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                       	|  0.0015311      	|  7              	|  0.010718       	|  0.047415       	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                         	|  0.0012632      	|  7              	|  0.0088421      	|  0.039116       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_train_epoch_end                                                                                     	|  0.0011227      	|  6              	|  0.0067361      	|  0.029799       	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                      	|  0.0010981      	|  6              	|  0.0065887      	|  0.029148       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                   	|  0.00090894     	|  7              	|  0.0063625      	|  0.028147       	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                        	|  0.0010549      	|  6              	|  0.0063294      	|  0.028          	|
|  [LightningDataModule]CGANSupervisedDataModule.train_dataloader                                                                                                      	|  0.00088148     	|  6              	|  0.0052889      	|  0.023397       	|
|  [LightningDataModule]CGANSupervisedDataModule.setup                                                                                                                 	|  0.0050683      	|  1              	|  0.0050683      	|  0.022421       	|
|  [LightningDataModule]CGANSupervisedDataModule.val_dataloader                                                                                                        	|  0.00058643     	|  6              	|  0.0035186      	|  0.015566       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_before_zero_grad                                                                                    	|  1.1676e-05     	|  294            	|  0.0034328      	|  0.015186       	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                           	|  1.1401e-05     	|  294            	|  0.0033519      	|  0.014828       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_after_backward                                                                                      	|  1.0966e-05     	|  294            	|  0.0032241      	|  0.014263       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_train_batch_end                                                                                     	|  1.0759e-05     	|  294            	|  0.003163       	|  0.013993       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_train_batch_start                                                                                   	|  1.0731e-05     	|  294            	|  0.003155       	|  0.013957       	|
