FIT Profiler Report

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  12764          	|  6.9936         	|  100 %          	|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  0.43386        	|  6              	|  2.6032         	|  37.222         	|
|  run_training_batch                                                                                                                                                  	|  0.0036371      	|  294            	|  1.0693         	|  15.29          	|
|  [LightningModule]CGANSupervisedClassifier.optimizer_step                                                                                                            	|  0.0035838      	|  294            	|  1.0536         	|  15.066         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.0017082      	|  294            	|  0.5022         	|  7.1808         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.0010658      	|  294            	|  0.31335        	|  4.4806         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.00078338     	|  294            	|  0.23031        	|  3.2932         	|
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                        	|  0.00035392     	|  294            	|  0.10405        	|  1.4878         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.00019876     	|  301            	|  0.059828       	|  0.85546        	|
|  [LightningModule]CGANSupervisedClassifier.transfer_batch_to_device                                                                                                  	|  0.00015068     	|  301            	|  0.045355       	|  0.64852        	|
|  [LightningModule]CGANSupervisedClassifier.optimizer_zero_grad                                                                                                       	|  0.00010248     	|  294            	|  0.03013        	|  0.43083        	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.0018168      	|  7              	|  0.012717       	|  0.18184        	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.0010187      	|  7              	|  0.0071311      	|  0.10197        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.00081558     	|  6              	|  0.0048935      	|  0.06997        	|
|  [LightningModule]CGANSupervisedClassifier.configure_gradient_clipping                                                                                               	|  1.5539e-05     	|  294            	|  0.0045685      	|  0.065324       	|
|  [Callback]TQDMProgressBar.on_validation_start                                                                                                                       	|  0.00056737     	|  7              	|  0.0039716      	|  0.056789       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  1.3443e-05     	|  294            	|  0.0039523      	|  0.056513       	|
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                      	|  0.00052194     	|  6              	|  0.0031317      	|  0.044779       	|
|  [LightningDataModule]CGANSupervisedDataModule.val_dataloader                                                                                                        	|  0.00031524     	|  6              	|  0.0018914      	|  0.027045       	|
|  [Callback]TQDMProgressBar.on_validation_batch_start                                                                                                                 	|  0.00023483     	|  7              	|  0.0016438      	|  0.023505       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_train_epoch_end                                                                                     	|  0.00024254     	|  6              	|  0.0014553      	|  0.020808       	|
|  [LightningDataModule]CGANSupervisedDataModule.train_dataloader                                                                                                      	|  0.00022434     	|  6              	|  0.001346       	|  0.019247       	|
|  [Callback]TQDMProgressBar.on_validation_end                                                                                                                         	|  0.00018443     	|  7              	|  0.001291       	|  0.01846        	|
|  [LightningDataModule]CGANSupervisedDataModule.setup                                                                                                                 	|  0.00085847     	|  1              	|  0.00085847     	|  0.012275       	|
|  [Callback]TQDMProgressBar.on_validation_batch_end                                                                                                                   	|  0.00012113     	|  7              	|  0.00084793     	|  0.012124       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_before_zero_grad                                                                                    	|  2.8794e-06     	|  294            	|  0.00084655     	|  0.012105       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_after_backward                                                                                      	|  2.608e-06      	|  294            	|  0.00076674     	|  0.010963       	|
|  [LightningModule]CGANSupervisedClassifier.on_validation_model_eval                                                                                                  	|  0.00010438     	|  7              	|  0.00073063     	|  0.010447       	|
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                           	|  2.4408e-06     	|  294            	|  0.00071761     	|  0.010261       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_train_batch_end                                                                                     	|  2.42e-06       	|  294            	|  0.00071147     	|  0.010173       	|
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                        	|  0.00011649     	|  6              	|  0.00069894     	|  0.009994       	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_before_backward                                                                                     	|  2.2486e-06     	|  294            	|  0.00066109     	|  0.0094528      	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_train_batch_start                                                                                   	|  2.197e-06      	|  294            	|  0.00064592     	|  0.0092359      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.00061251     	|  1              	|  0.00061251     	|  0.0087582      	|
|  [Callback]TQDMProgressBar.on_train_start                                                                                                                            	|  0.00057907     	|  1              	|  0.00057907     	|  0.00828        	|
|  [LightningModule]CGANSupervisedClassifier.on_validation_model_zero_grad                                                                                             	|  9.2209e-05     	|  6              	|  0.00055325     	|  0.0079108      	|
|  [Callback]EarlyStopping{'monitor': 'val_acc', 'mode': 'max'}.on_before_optimizer_step                                                                               	|  1.7291e-06     	|  294            	|  0.00050836     	|  0.007269       	|
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                         	|  1.7108e-06     	|  294            	|  0.00050297     	|  0.0071918      	|
|  [LightningModule]CGANSupervisedClassifier.on_before_batch_transfer                                                                                                  	|  1.4647e-06     	|  301            	|  0.00044089     	|  0.0063041      	|
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                      	|  1.4751e-06     	|  294            	|  0.00043367     	|  0.0062009      	|
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                       	|  1.4597e-06     	|  294            	|  0.00042915     	|  0.0061363      	|
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                     	|  1.42e-06       	|  294            	|  0.00041749     	|  0.0059697      	|
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                        	|  1.3983e-06     	|  294            	|  0.0004111      	|  0.0058783      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  1.3007e-06     	|  294            	|  0.0003824      	|  0.0054678      	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward       	|  1.2962e-06     	|  294            	|  0.0003811      	|  0.0054492      	|
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                          	|  1.2935e-06     	|  294            	|  0.00038028     	|  0.0054375      	|
|  [Callback]ModelSummary.on_before_backward                                                                                                                           	|  1.2907e-06     	|  294            	|  0.00037948     	|  0.0054261      	|
